# dipole.nec - Fri 13 Mar 2026 03:16:28 PM CET (2026-03-13 15:16:28)
# Reference impedance Z0 = 50.00 Ohm
#
# To plot in gnuplot you can modify this command.  Presently it plots MHz vs zreal and zimag:
#    plot for [i=2:3]  'filename.gplot' using 1:i with lines smooth bezier title columnhead(i);
#
"mhz"	"zreal"	"zimag"	"zmag"	"zphase"	"vswr"	"s11"	"s11_real"	"s11_imag"	"s11_ang"	"gain_max"	"gain_net"	"gain_max_theta"	"gain_max_phi"	"gain_viewer"	"gain_viewer_net"	"fb_ratio"
250	40.950597308911981	-126.84271658847841	133.28925752475976	-72.107560866738737	9.7957071737112731	-1.7796066736360026	-1.7796066736360039	-6.0218408434919999	-39.722593722695727	2.0124842285263114	-2.7215798387775916	-90	20	2.0124842285263052	-2.7215798387775978	9.6432746655328694e-16
260	45.975662611652098	-100.38178163641616	110.40952693079345	-65.3918396871494	6.22993689696992	-2.8127611592680695	-2.8127611592680695	-6.9750430779205637	-46.010316377254448	2.0349167729982831	-1.1823369722026476	60	270	2.0349167729982733	-1.1823369722026573	3.857309866213147e-15
270	51.571997563361947	-74.432672483615477	90.553264246677372	-55.28316041459518	3.89259974815511	-4.565026891380052	-4.5650268913800538	-7.9673342194507955	-52.555885895624215	2.058510671929584	0.19071431484336743	40	90	2.0585106719295791	0.19071431484336254	3.857309866213147e-15
280	57.816447830288972	-48.848489695074278	75.689606850625822	-40.194104387390226	2.4360684533990913	-7.5777333050551308	-7.5777333050551334	-8.570563531830155	-56.535040031383673	2.0832954496515708	1.2495540954710074	90	50	2.0832954496515677	1.2495540954710043	2.8929823996598604e-15
290	64.798795269699298	-23.495917995933528	68.927077631914997	-19.930546800585144	1.6211348470078901	-12.506069389282196	-12.506069389282196	-7.0081057469971011	-46.228411641684183	2.1093013391337463	1.8583053797314877	-90	320	2.1093013391337418	1.8583053797314832	1.9286549331065739e-15
300	72.62427543060511	1.7467368782965946	72.645278384368481	1.3777949424101028	1.4540813376313866	-14.65510599370592	-14.655105993705916	0.5455589256493073	3.5987360208595307	2.1365592785465108	1.9852671410394147	10	270	2.1365592785465055	1.9852671410394094	6.7502922658730046e-15
310	81.416638351068471	26.990690320116428	85.773925900270527	18.341040270325184	1.8932097688948841	-10.208529171656116	-10.208529171656116	4.4054806310470411	29.060402260450289	2.1651008951497444	1.7300897195134364	-90	50	2.1651008951497404	1.7300897195134324	4.8216373327664331e-15
320	91.321869347309985	52.336950878609784	105.25606988842576	29.817205034699402	2.587345418629599	-7.0820350640027874	-7.0820350640027865	4.7580539096978676	31.38612382455662	2.1949585078782023	1.2486386221291914	20	270	2.1949585078781997	1.2486386221291887	3.857309866213147e-15
330	102.51270744359404	77.875586760492951	128.73795943973542	37.222761370752011	3.4296116215142973	-5.2165758730270362	-5.2165758730270371	4.3899528908688836	28.957974758535304	2.2261651234640119	0.67190145983293137	90	30	2.2261651234640087	0.67190145983292826	2.8929823996598604e-15
340	115.19411459637536	103.68373428180669	154.98387268442855	41.989694138553396	4.3758763854705771	-4.0412547637250134	-4.0412547637250125	3.8998192506038216	25.724847220281589	2.2587544358491281	0.081019322637513991	50	90	2.2587544358491245	0.081019322637510438	9.6432746655328694e-16
350	129.60985565366693	129.82194656919944	183.44604790940701	45.046840483291007	5.3932406588251389	-3.2587211695052458	-3.2587211695052458	3.4295886852033552	22.623008730879636	2.292760825753251	-0.48256231670570093	-90	20	2.2927608257532484	-0.4825623167057036	6.7502922658730046e-15
